Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Device hardware and software information will be sent to eKare for troubleshooting""), ""Device hardware and software information will be sent to eKare for troubleshooting"")",,,,2023-08-17 09:48:46,2023-08-17 09:48:46,0.802s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - CANCEL""), 30)",,,,2023-08-17 09:48:46,2023-08-17 09:48:47,0.266s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - PROCEED""), 30)",,,,2023-08-17 09:48:47,2023-08-17 09:48:47,0.233s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.Button - PROCEED""), 30)",,,,2023-08-17 09:48:47,2023-08-17 09:48:47,0.293s,PASSED
"verifyElementText(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Information sent successfully""), ""Information sent successfully"")",,,,2023-08-17 09:48:47,2023-08-17 09:48:49,2.090s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.Button - OK""), 30)",,,,2023-08-17 09:48:49,2023-08-17 09:48:50,0.322s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.ImageView - Menu""), 30)",,,,2023-08-17 09:48:50,2023-08-17 09:48:50,0.777s,PASSED
"tap(findTestObject(""Menu and other services/Help/android.widget.TextView - Help""), 30)",,,,2023-08-17 09:48:50,2023-08-17 09:48:52,1.686s,PASSED
"verifyElementExist(findTestObject(""Menu and other services/Help/android.widget.TextView - Send back up""), 30)",,,,2023-08-17 09:48:52,2023-08-17 09:48:53,0.833s,PASSED
"tap(findTestObject(""Object Repository/Menu and other services/Help/android.widget.TextView - Send back up""), 30)",,,,2023-08-17 09:48:53,2023-08-17 09:48:53,0.418s,PASSED
